Date,20SMA,5SMA,Close
2011-03-25,8.72,8.94,9.020000457763672
2011-03-28,8.74,8.91,9.020000457763672
2011-03-29,8.79,8.9,8.869999885559082
2011-03-30,8.84,8.95,8.970000267028809
2011-03-31,8.86,8.92,8.710000038146973
2011-04-01,8.88,8.87,8.779999732971191
2011-04-04,8.9,8.81,8.739999771118164
2011-04-05,8.86,8.73,8.449999809265137
2011-04-06,8.83,8.62,8.399999618530273
2011-04-07,8.79,8.52,8.239999771118164
2011-04-08,8.73,8.35,7.940000057220459
2011-04-11,8.7,8.25,8.239999771118164
2011-04-12,8.67,8.25,8.449999809265137
2011-04-13,8.66,8.23,8.260000228881836
2011-04-14,8.64,8.19,8.0600004196167
2011-04-15,8.59,8.22,8.09000015258789
2011-04-18,8.55,8.24,8.329999923706055
2011-04-19,8.52,8.2,8.25
2011-04-20,8.49,8.17,8.140000343322754
2011-04-21,8.45,8.19,8.130000114440918
2011-04-25,8.42,8.23,8.279999732971191
2011-04-26,8.41,8.32,8.800000190734863
2011-04-27,8.4,8.42,8.75
2011-04-28,8.39,8.55,8.770000457763672
2011-04-29,8.41,8.74,9.09000015258789
2011-05-02,8.42,8.89,9.0600004196167
2011-05-03,8.45,8.98,9.220000267028809
2011-05-04,8.49,9.09,9.300000190734863
2011-05-05,8.56,9.3,9.819999694824219
2011-05-06,8.63,9.42,9.6899995803833
2011-05-09,8.7,9.47,9.319999694824219
2011-05-10,8.77,9.53,9.5
2011-05-11,8.84,9.66,9.989999771118164
2011-05-12,8.91,9.62,9.619999885559082
2011-05-13,8.98,9.57,9.40999984741211
2011-05-16,9.07,9.69,9.9399995803833
2011-05-17,9.14,9.75,9.800000190734863
2011-05-18,9.22,9.69,9.670000076293945
2011-05-19,9.32,9.83,10.319999694824219
2011-05-20,9.43,9.98,10.170000076293945
2011-05-23,9.51,9.99,10.0
2011-05-24,9.56,9.98,9.739999771118164
2011-05-25,9.58,9.9,9.270000457763672
2011-05-26,9.61,9.69,9.25
2011-05-27,9.61,9.48,9.119999885559082
2011-05-31,9.61,9.3,9.100000381469727
2011-06-01,9.6,9.16,9.039999961853027
2011-06-02,9.59,9.12,9.109999656677246
2011-06-03,9.55,9.05,8.890000343322754
2011-06-06,9.49,8.94,8.550000190734863
2011-06-07,9.45,8.83,8.5600004196167
2011-06-08,9.39,8.67,8.260000228881836
2011-06-09,9.29,8.46,8.039999961853027
2011-06-10,9.22,8.3,8.100000381469727
2011-06-13,9.16,8.23,8.210000038146973
2011-06-14,9.07,8.16,8.170000076293945
2011-06-15,8.99,8.15,8.229999542236328
2011-06-16,8.92,8.19,8.229999542236328
2011-06-17,8.82,8.25,8.399999618530273
2011-06-20,8.74,8.33,8.600000381469727
2011-06-21,8.68,8.42,8.649999618530273
2011-06-22,8.61,8.47,8.479999542236328
2011-06-23,8.59,8.61,8.90999984741211
2011-06-24,8.57,8.67,8.6899995803833
2011-06-27,8.57,8.78,9.149999618530273
2011-06-28,8.57,8.87,9.130000114440918
2011-06-29,8.56,8.95,8.850000381469727
2011-06-30,8.55,8.95,8.90999984741211
2011-07-01,8.55,9.0,8.9399995803833
2011-07-05,8.55,8.86,8.449999809265137
2011-07-06,8.54,8.7,8.34000015258789
2011-07-07,8.54,8.61,8.390000343322754
2011-07-08,8.55,8.47,8.210000038146973
2011-07-11,8.55,8.29,8.0600004196167
2011-07-12,8.54,8.19,7.949999809265137
2011-07-13,8.52,8.1,7.900000095367432
2011-07-14,8.49,7.95,7.639999866485596
2011-07-15,8.45,7.8,7.440000057220459
2011-07-18,8.39,7.59,7.03000020980835
2011-07-19,8.31,7.4,7.010000228881836
2011-07-20,8.22,7.2,6.900000095367432
2011-07-21,8.14,7.06,6.900000095367432
2011-07-22,8.03,6.93,6.800000190734863
2011-07-25,7.93,6.82,6.5
2011-07-26,7.79,6.7,6.389999866485596
2011-07-27,7.64,6.55,6.179999828338623
2011-07-28,7.5,6.37,5.980000019073486
2011-07-29,7.36,6.26,6.239999771118164
2011-08-01,7.21,6.15,5.960000038146973
2011-08-02,7.07,5.98,5.519999980926514
2011-08-03,6.95,5.92,5.900000095367432
2011-08-04,6.81,5.85,5.630000114440918
2011-08-05,6.67,5.71,5.519999980926514
2011-08-08,6.52,5.51,4.96999979019165
2011-08-09,6.41,5.56,5.789999961853027
2011-08-10,6.28,5.45,5.320000171661377
2011-08-11,6.17,5.42,5.480000019073486
2011-08-12,6.08,5.42,5.53000020980835
2011-08-15,6.02,5.6,5.880000114440918
2011-08-16,5.97,5.64,5.96999979019165
2011-08-17,5.91,5.71,5.690000057220459
2011-08-18,5.83,5.68,5.349999904632568
2011-08-19,5.75,5.61,5.139999866485596
2011-08-22,5.68,5.45,5.110000133514404
2011-08-23,5.62,5.32,5.329999923706055
2011-08-24,5.58,5.25,5.300000190734863
2011-08-25,5.54,5.19,5.079999923706055
2011-08-26,5.49,5.22,5.260000228881836
2011-08-29,5.47,5.3,5.550000190734863
2011-08-30,5.47,5.34,5.519999980926514
2011-08-31,5.45,5.4,5.590000152587891
2011-09-01,5.43,5.44,5.289999961853027
2011-09-02,5.42,5.43,5.21999979019165
2011-09-06,5.42,5.33,5.039999961853027
2011-09-07,5.39,5.27,5.210000038146973
2011-09-08,5.38,5.18,5.139999866485596
2011-09-09,5.36,5.13,5.019999980926514
2011-09-12,5.33,5.05,4.849999904632568
2011-09-13,5.31,5.17,5.639999866485596
2011-09-14,5.3,5.28,5.739999771118164
2011-09-15,5.31,5.42,5.860000133514404
2011-09-16,5.34,5.6,5.909999847412109
2011-09-19,5.37,5.79,5.800000190734863
